ID,Topics,Text,NegPos
22,Staff,,
22,Location,,
22,Food,,
22,Price,,
22,Facility,,
22,Check-in,,
22,Check-out,,
22,Room1,Fridge could have been put on beforehand so it was cold.,Negative
22,Room2,"the shower took a while to get hot, had to have a cold shower one morning as i needed to get out early.",Negative
22,Room3,When you left it running for around 5 mins it got warm and was a good shower.,Positive
22,Food1,"Ordered pizza one night and was not great, too stodgy.",Negative
22,Food2,I'm sure other food is better.,Positive
22,Facility,The restaurant area is nice.,Positive
22,Staff,The staff very accommodating.,Positive
22,Location,,
22,Price,,
22,Check-in,,
22,Check-out,,
23,Room,the beds were very comfortable,Positive
23,Staff,,
23,Location,,
23,Food,,
23,Price,,
23,Facility,,
23,Check-in,,
23,Check-out,,
24,Room,I loved the mattress!!!,Positive
24,Staff,,
24,Location,,
24,Food,,
24,Price,,
24,Facility,,
24,Check-in,,
24,Check-out,,
25,Room,Clean and quiet,Positive
25,Staff,,
25,Location,,
25,Food,,
25,Price,,
25,Facility,,
25,Check-in,,
25,Check-out,,
26,Room,The rooms are a good size and are laid out very well with a good size bathroom. The room also has a great sized balcony to take a tea/coffee and chill.,Positive
26,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing.,Positive
26,Location,The hotel is 5 minutes from the beach and the location is also near the lake.,Positive
26,Food,There is a great restaurant inside where the food is good and not to pricey.,Positive
26,Price,not to pricey.,Positive
26,Facility,,
26,Check-in,,
26,Check-out,,
26,Room,,
26,Staff,,
26,Location,,
26,Food,,
26,Price,,
26,Facility,,
26,Check-in,,
26,Check-out,Just rebooked the hotel for 2 weeks time.,Positive
27,Room,"so comfortable, clean.",Positive
27,Staff,friendly staff.,Positive
27,Location,perfect for overnight stay before flying from Larnaca Airport.,Positive
27,Food,,
27,Price,,
27,Facility,,
27,Check-in,,
27,Check-out,,
28,Room,,
28,Staff,Staff is very polite and caring.,Positive
28,Location,,
28,Food,,
28,Price,,
28,Facility,,
28,Check-in,,
28,Check-out,,
28,Room,,
28,Staff,,
28,Location,Surrounding buildings are under construction and poorly lit.,Negative
28,Food,,
28,Price,,
28,Facility,,
28,Check-in,,
28,Check-out,,
29,Room,very clean functional rooms.,Positive
29,Staff,lovely and very helpful staff.,Positive
29,Location,,
29,Food,,
29,Price,,
29,Facility,,
29,Check-in,,
29,Check-out,,
29,Room,I would have liked an ironing board in the room.,Negative
29,Staff,,
29,Location,,
29,Food,,
29,Price,,
29,Facility,,
29,Check-in,,
29,Check-out,,
30,Room,The room was spotless.,Positive
30,Staff,Staff were lovely. Service was great.,Positive
30,Location,Great location for restaurants. Great location for a short drive to the airport.,Positive
30,Food,,
30,Price,,
30,Facility,,
30,Check-in,,
30,Check-out,,
31,Room,"Clean, comfortable.",Positive
31,Staff,Friendly staff.,Positive
31,Location,Very close to Mackenzy beach & Larnaca airport.,Positive
31,Food1,Great restaurant beneath the hotel - food excellent.,Positive
31,Food2,reasonably priced.,Positive
31,Price,,
31,Facility,,
31,Check-in,,
31,Check-out,,
32,Room1,The bed was great.,Positive
32,Room2,Rooms clean.,Positive
32,Staff,Staff were so kind.,Positive
32,Location,,
32,Food,,
32,Price,,
32,Facility,,
32,Check-in,,
32,Check-out,,
33,Room,super clean room with modern furniture all together make your stay max comfortable.,Positive
33,Staff,Very helpful staff.,Positive
33,Location,,
33,Food,Option to have a good breakfast within the hotel save your time.,Positive
33,Price,Sure worth it to come back again.,Positive
33,Facility,,
33,Check-in,,
33,Check-out,,
33,Room1,noisy during evening time from the street side.,Negative
33,Room2,choose the garden view apartments or just close the windows and start the air conditioning.,Positive
33,Staff,,
33,Location,,
33,Food,,
33,Price,,
33,Facility,,
33,Check-in,,
33,Check-out,,
34,Room,,
34,Staff,welcoming,Positive
34,Location,location,Positive
34,Food,,
34,Price,value for money,Positive
34,Facility,,
34,Check-in,,
34,Check-out,,
34,Room,more hooks on walls for towels etc.,Negative
34,Staff,,
34,Location,,
34,Food,,
34,Price,,
34,Facility,,
34,Check-in,,
34,Check-out,,
35,Room,,
35,Staff,,
35,Location,,
35,Food,,
35,Price,,
35,Facility,There was a problem with heating water at that time and we couldn't manage to have a proper shower with hot water.,Negative
35,Check-in,,
35,Check-out,,
36,Room1,The room was smaller than I expected but acceptable for a few days.,Negative
36,Room2,"The bed and pillows were very clean, and the bed was really comfortable.",Positive
36,Staff1,The receptionist on check-in was very good and explained the information very clearly to us.,Positive
36,Staff2,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation.",Positive
36,Location,"The location was in a small side street, but it was only a 10-minute walk to the sea front.",Positive
36,Food,"his food was excellent, he had passion and it showed in his presentation.",Positive
36,Price,,
36,Facility,there was no opening and closing times of the bar on display.,Negative
36,Check-in,,
36,Check-out,,
36,Room,,
36,Staff,,
36,Location,,
36,Food,,
36,Price,,
36,Facility,not showing opening times.,Negative
36,Check-in,,
36,Check-out,,
37,Room,Really clean,Positive
37,Staff,lovely caring staff,Positive
37,Food,food was good too,Positive
37,Location,,
37,Price,,
37,Facility,,
37,Check-in,,
37,Check-out,,
37,Room,,
37,Staff,,
37,Location,The bus to the airport is close by and runs every 15 minutes.,Positive
37,Food,,
37,Price,,
37,Facility,,
37,Check-in,,
37,Check-out,,
38,Room,great rooms - nice and cool,Positive
38,Staff,,
38,Location,,
38,Food,,
38,Price,,
38,Facility,,
38,Check-in,,
38,Check-out,,
39,Room,It was really clean and spacious.,Positive
39,Staff,,
39,Location,,
39,Food,,
39,Price,,
39,Facility,,
39,Check-in,,
39,Check-out,,
40,Room,,
40,Staff,,
40,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive
40,Food,,
40,Price,,
40,Facility,,
40,Check-in,,
40,Check-out,,
40,Room,"there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room",Negative
40,Staff,,
40,Location,,
40,Food,,
40,Price,,
40,Facility,,
40,Check-in,,
40,Check-out,,
41,Room,Clean modern rooms.,Positive
41,Staff,Super friendly and helpful staff.,Positive
41,Location,"A good location 5 mins away from the airport by car, 5 mins walk to the beach.",Positive
41,Food,Very nice breakfast.,Positive
41,Price,,
41,Facility,,
41,Check-in,,
41,Check-out,,
41,Room,,
41,Staff,,
41,Location,,
41,Food1,"the kitchen shuts at 22:30 or so, and there is no food to be had afterwards.",Negative
41,Food2,have something like nuts / chips available to buy on arrival.,Positive
41,Price,,
41,Facility,,
41,Check-in,flag that ahead of time in the welcome email to those arriving from the UK,Positive
41,Check-out,,
42,Room,,
42,Staff,hospitality,Positive
42,Location,,
42,Food,,
42,Price,,
42,Facility,,
42,Check-in,,
42,Check-out,,
42,Room,clean,Positive
42,Staff,,
42,Location,,
42,Food,,
42,Price,,
42,Facility,,
42,Check-in,,
42,Check-out,,
43,Room,clean spacious practical,Positive
43,Staff,,
43,Location,,
43,Food,,
43,Price,,
43,Facility,,
43,Check-in,,
43,Check-out,,
44,Room,,
44,Staff1,Was met with a warm welcome at reception.,Positive
44,Staff2,warm welcome by the dining staff.,Positive
44,Location,,
44,Food,,
44,Price,particularly for the tariff charged.,Positive
44,Facility,The facilities were really good.,Positive
44,Check-in,,
44,Check-out,,
44,Room,,
44,Staff,,
44,Location,"Outside was a bit noisy later in the evening, but that's not within the hotels control.",Negative
44,Food,,
44,Price,,
44,Facility,,
44,Check-in,,
44,Check-out,,
45,Room,,
45,Staff,,
45,Location,The beach is about 5 minutes walk away.,Positive
45,Food1,Restaurant was a surprise hit: good food.,Positive
45,Food2,"very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually.",Positive
45,Price,,
45,Facility,"Recently updated, everything was new and clean.",Positive
45,Check-in,,
45,Check-out,,
45,Room,,
45,Staff,,
45,Location,"There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway, but next to no departures in the morning.",Negative
45,Food,,
45,Price,,
45,Facility,,
45,Check-in,,
45,Check-out,,
46,Room,,
46,Staff,,
46,Location,,
46,Food,,
46,Price,Great value for money,Positive
46,Facility,,
46,Check-in,,
46,Check-out,,
47,Room,,
47,Staff,very helpful staff who organised a taxi to collect us in the morning.,Positive
47,Location,,
47,Food,,
47,Price,Good value for money.,Positive
47,Facility,,
47,Check-in,,
47,Check-out,,
48,Room,Clean and comfortable rooms.,Positive
48,Staff,lovely owner,Positive
48,Location,,
48,Food,,
48,Price,,
48,Facility,,
48,Check-in,,
48,Check-out,,
49,Room,The 2 rooms were big enough for a family of 5.,Positive
49,Staff,,
49,Location,Great location close to the airport and a short walk to the sea.,Positive
49,Food,,
49,Price,Great value for money.,Positive
49,Facility,,
49,Check-in,,
49,Check-out,,
50,Room,,
50,Staff,,
50,Location,close to airport,Positive
50,Food,,
50,Price,,
50,Facility,Great little hotel,Positive
50,Check-in,,
50,Check-out,,
50,Room,Not very soundproof.,Negative
50,Staff,,
50,Location,,
50,Food,,
50,Price,,
50,Facility,,
50,Check-in,,
50,Check-out,,
51,Room,"nice clean room, very well kept.",Positive
51,Staff,staff very helpful and friendly.,Positive
51,Location,Near airport.,Positive
51,Food,good food,Positive
51,Price,,
51,Facility,,
51,Check-in,,
51,Check-out,,
53,Room,comfortable bed,Positive
53,Staff,,
53,Location,close to the airport and Mackenzie Beach,Positive
53,Food,delicious breakfasts in the hotel restaurant,Positive
53,Price,,
53,Facility,"nice, renovated hotel",Positive
53,Check-in,,
53,Check-out,,
54,Room,Very nice and clean room.,Positive
54,Staff,,
54,Location,,
54,Food,,
54,Price,,
54,Facility,,
54,Check-in,,
54,Check-out,,
55,Room,,
55,Staff,,
55,Location,Good for airport transfers.,Positive
55,Food,,
55,Price,,
55,Facility,,
55,Check-in,,
55,Check-out,,
55,Room,A lot of mosquitos.,Negative
55,Staff,,
55,Location,,
55,Food,,
55,Price,,
55,Facility,,
55,Check-in,,
55,Check-out,,
56,Room,Beds are extremely comfortable.,Positive
56,Staff,Amazing hospitality from the staff.,Positive
56,Location,Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport.,Positive
56,Food,,
56,Price,,
56,Facility,,
56,Check-in,,
56,Check-out,,
56,Room,,
56,Staff,,
56,Location,prime location near the airport,Positive
56,Food1,it would’ve been great if breakfast started at 7 rather than 8,Negative
56,Food2,everything was perfect for one night's stay,Positive
56,Price,,
56,Facility,,
56,Check-in,,
56,Check-out,,
57,Room,"Very clean, very comfortable room.",Positive
57,Staff,Staff was extremely helpful. They ordered a taxi for us to get to the airport very early in the morning.,Positive
57,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",Positive
57,Food,,
57,Price,,
57,Facility,,
57,Check-in,,
57,Check-out,,
58,Room,,
58,Staff,the staff were nice and helpful.,Positive
58,Location,Close to the airport.,Positive
58,Food,,
58,Price,,
58,Facility,,
58,Check-in,,
58,Check-out,,
58,Room,The room wasn't soundproof so you can hear the planes.,Negative
58,Staff,,
58,Location,,
58,Food,,
58,Price,,
58,Facility,,
58,Check-in,,
58,Check-out,,
59,Room,,
59,Staff,,
59,Location,Close to airport so very convenient for overnight stay.,Positive
59,Food,,
59,Price,,
59,Facility,,
59,Check-in,very easy to check-in if you arrive late at night.,Positive
59,Check-out,,
60,Room,,
60,Staff,,
60,Location,,
60,Food,,
60,Price,,
60,Facility,,
60,Check-in,clear instructions left access to our room made easy 😊,Positive
60,Check-out,,
61,Room,,
61,Staff,good service,Positive
61,Location,,
61,Food,Excellent range of food offered,Positive
61,Price,,
61,Facility,,
61,Check-in,,
61,Check-out,,
61,Room,no issues for overnight stay,Positive
61,Staff,,
61,Location,,
61,Food,,
61,Price,,
61,Facility,,
61,Check-in,,
61,Check-out,,
62,Room1,"Comfortable beds, the best linen and duvets I had in my entire 10 day trip.",Positive
62,Room2,In room mini bar+ tea/ coffee,Positive
62,Room3,Clean modern bathroom.,Positive
62,Room4,Good AC.,Positive
62,Staff,Caring and helpful host.,Positive
62,Location,"Comfortable location near the airport, and near the beach.",Positive
62,Food,Restaurant on site,Positive
62,Price,,
62,Facility,,
62,Check-in,,
62,Check-out,,
62,Room1,"We liked La Veranda, how comfortable the regular beds were.",Positive
62,Room2,Our son had a folding bed which could have been better.,Negative
62,Staff,,
62,Location,,
62,Food,,
62,Price,,
62,Facility,,
62,Check-in,,
62,Check-out,,
63,Room,It’s been renovated to an exceptionally high standard and it really is well up to 4* standard.,Positive
63,Price,Exceptional value.,Positive
63,Staff,,
63,Location,,
63,Food,,
63,Facility,,
63,Check-in,,
63,Check-out,,
63,Room,,
63,Staff,,
63,Location,,
63,Food,,
63,Price,,
63,Facility,I cannot find a single negative point…which is unusual.,Positive
63,Check-in,,
63,Check-out,,
64,Room,The room was new and clean.,Positive
64,Staff,The staff reached out in advance and provided us with the detailed instructions of how to get to the room when reception closes.,Positive
64,Location,"We were looking for the hotel close to the airport, and it was a perfect match. The hotel is located in a close proximity to the airport (5 min by car or 10 min by bus).",Positive
64,Food,"Even though the kitchen was closing, they made us a pizza which was really nice.",Positive
64,Price,,
64,Facility,the place at the ground floor,
64,Check-in,,
64,Check-out,,
64,Room,,
64,Staff,,
64,Location,the hotel is really close to the airport.,Positive
64,Facility,you can hear all the noise from the planes.,Negative
64,Food,,
64,Price,,
64,Check-in,,
64,Check-out,,
65,Room,"The property was clean, bed was comfortable.",Positive
65,Staff,staff were really good.,Positive
65,Location,Location was great and easy to get to and from.,Positive
65,Food,the food was really good.,Positive
65,Price,,
65,Facility,,
65,Check-in,,
65,Check-out,,
66,Room,The place was spotless and very comfortable.,Positive
66,Staff,The gentleman in reception was very friendly and had a lovely smile.,Positive
66,Location,The location was perfect for the airport as we were flying out to UK.,Positive
66,Food,The fish and steak restaurant around the corner was also great value and friendly.,Positive
66,Price,The fish and steak restaurant around the corner was also great value.,Positive
66,Facility,The entrance to the hotel is welcoming and the bar and coffee shop chic.,Positive
66,Check-in,,
66,Check-out,,
67,Room,,
67,Staff,friendly staff,Positive
67,Location,,
67,Food,,
67,Price,,
67,Facility,,
67,Check-in,,
67,Check-out,,
68,Room,clean,Positive
68,Staff,Friendly,Positive
68,Price,good value,Positive
68,Location,,
68,Food,,
68,Facility,,
68,Check-in,,
68,Check-out,,
69,Room,,
69,Staff1,The people are lovely.,Positive
69,Location1,The place is lovely.,Positive
69,Food,,
69,Price,Couldn't ask for more during my stay especially with such a price.,Positive
69,Facility,,
69,Check-in,,
69,Check-out,,
70,Room,Peaceful and clean,Positive
70,Staff,friendly helpful staff,Positive
70,Location,,
70,Food,,
70,Price,,
70,Facility,,
70,Check-in,,
70,Check-out,,
71,Room,Got very clear instructions how to get access to our room.,Positive
71,Staff,The staff of the hotel is extremely friendly and nice.,Positive
71,Location,The bus stop with direct access to the airport is a few steps from the accommodation. the airport can be reached in a few minutes. Mackenzie beach is also easily accessible on foot.,Positive
71,Food,,
71,Price,,
71,Facility,,
71,Check-in,,
71,Check-out,,
71,Room,,
71,Staff,,
71,Location,"there is no shop or pharmacy in the area, but the accommodation cannot do anything about this.",Negative
71,Food,,
71,Price,,
71,Facility,,
71,Check-in,,
71,Check-out,,
72,Room,,
72,Staff,I received very clear instructions how to enter the hotel and access my room.,Positive
72,Location,,
72,Food,,
72,Price,,
72,Facility,,
72,Check-in,I arrived late.,Negative
72,Check-out,,
73,Room,wonderful room.,Positive
73,Staff,Lovely staff doing best to assist always.,Positive
73,Location,,
73,Food,,
73,Price,,
73,Facility,,
73,Check-in,,
73,Check-out,,
74,Room,"very clean and cozy ones, with comfortable beds",Positive
74,Staff,The staff of the hotel is extremely friendly and nice.,Positive
74,Location,"The hotel is based on a quiet place near to the airport, beach and the Salt Lake in the city. The location is excellent, as there are lots of parking places around, as well.",Positive
74,Food,there is a restaurant in the hotel with delicious food,Positive
74,Price,,
74,Facility,,
74,Check-in,,
74,Check-out,,
75,Room,Disappointed we didn't have a balcony,Negative
75,Staff,,
75,Location,,
75,Food,,
75,Price,,
75,Facility,,
75,Check-in,,
75,Check-out,,
76,Room1,Feels new and clean.,Positive
76,Location1,perfect location nearby the beach,Positive
76,Staff,,
76,Food,,
76,Price,,
76,Facility,,
76,Check-in,,
76,Check-out,,
77,Room,,
77,Staff,The staff is very VERY helpful and eager to assist.,Positive
77,Location,,
77,Food,,
77,Price,,
77,Facility,,
77,Check-in,,
77,Check-out,,
77,Room,,
77,Staff,,
77,Location,,
77,Food,,
77,Price,,
77,Facility,,
77,Check-in,,
77,Check-out,,
78,Room,"clean, nice room, big bathroom",Positive
78,Staff,Nice friendly staff.,Positive
78,Location,,
78,Food,,
78,Price,,
78,Facility,,
78,Check-in,,
78,Check-out,,
79,Room,New clean setup.,Positive
79,Staff,Friendly helpful staff.,Positive
79,Location,,
79,Food,,
79,Price,,
79,Facility,,
79,Check-in,,
79,Check-out,,
79,Room,,
79,Staff,,
79,Location,,
79,Food,,
79,Price,,
79,Facility,,
79,Check-in,,
79,Check-out,,
80,Room,Everything was clean.,Positive
80,Staff,,
80,Location,Mc Kenzie Beach within walking distance.,Positive
80,Food,It was delicious and inexpensive.,Positive
80,Price,,
80,Facility,It is a new hotel.,Positive
80,Check-in,,
80,Check-out,,
81,Room,clean spacious rooms.,Positive
81,Location,Close to the airport.,Positive
81,Staff,,
81,Food,,
81,Price,,
81,Facility,,
81,Check-in,,
81,Check-out,,
81,Room,,
81,Staff,,
81,Location,,
81,Food,,
81,Price,,
81,Facility,No 24 hour reception so not easy to access entry at odd hours.,Negative
81,Check-in,,
81,Check-out,,
82,Room,"super clean, modern",Positive
82,Staff,Amazing staff,Positive
82,Location,great location,Positive
82,Food,,
82,Price,,
82,Facility,,
82,Check-in,,
82,Check-out,,
83,Room,Room was clean and comfortable.,Positive
83,Staff,Stuff was very nice and friendly.,Positive
83,Location,,
83,Food,,
83,Price,,
83,Facility,,
83,Check-in,,
83,Check-out,,
83,Room,,
83,Staff,,
83,Location,The location was a little bit far from the centre.,Negative
83,Food,,
83,Price,,
83,Facility,,
83,Check-in,,
83,Check-out,,
84,Room,,
84,Staff,"very good staff serving you as a valued customer, very polite and caring at all times. Could not seem to do enough for their guests.",Positive
84,Location,,
84,Food,The breakfast was very good plenty of selection.,Positive
84,Price,,
84,Facility,Every thing was spotless clean in the breakfast room.,Positive
84,Check-in,,
84,Check-out,,
84,Room,,
84,Staff,,
84,Location,,
84,Food,,
84,Price,,
84,Facility1,they did not have a pool.,Negative
84,Facility2,had plenty of chairs to sit on outside in the garden which also was spotlessly clean everywhere.,Positive
84,Check-in,,
84,Check-out,,
85,Room,,
85,Staff,friendly personnel,Positive
85,Location,,
85,Food,Good food in the restaurant downstairs,Positive
85,Price,,
85,Facility,,
85,Check-in,,
85,Check-out,,
85,Room,The room wasn't clean when we checked in.,Negative
85,Check-in,So they finished the cleaning after our complaint.,Positive
85,Staff,,
85,Location,,
85,Food,,
85,Price,,
85,Facility,,
85,Check-out,,
86,Room,,
86,Staff,very friendly staff,Positive
86,Location,,
86,Food,Breakfast was excellent.,Positive
86,Price,,
86,Facility,,
86,Check-in,,
86,Check-out,,
87,Room,,
87,Staff,Super friendly staff.,Positive
87,Food,nice restaurant.,Positive
87,Location,,
87,Price,,
87,Facility,,
87,Check-in,,
87,Check-out,,
88,Room,Clean comfortable little hotel.,Positive
88,Staff,Lovely friendly staff.,Positive
88,Location,Good location and easily reached from the airport.,Positive
88,Food,,
88,Price,,
88,Facility,,
88,Check-in,,
88,Check-out,,
88,Room,,
88,Staff,,
88,Location,,
88,Food,,
88,Price,,
88,Facility,It was perfect for my stay.,Positive
88,Check-in,,
88,Check-out,,
89,Room,"In a clean, comfortable bed within minutes of arrival.",Positive
89,Staff,,
89,Location,,
89,Food,,
89,Price,,
89,Facility,,
89,Check-in1,instructions for access were sent in advance and absolutely perfect.,Positive
89,Check-in2,We had a horrible 4am arrival.,Negative
89,Check-out,,
90,Room,very clean,Positive
90,Staff,staff,Positive
90,Location,position,Positive
90,Food,,
90,Price,,
90,Facility,,
90,Check-in,,
90,Check-out,,
90,Room,,
90,Staff,,
90,Location,,
90,Food,,
90,Price,,
90,Facility,parking not always easy,Negative
90,Check-in,,
90,Check-out,,
91,Room,Very nice rooms that were very clean.,Positive
91,Staff,"helpful, friendly staff.",Positive
91,Location,Close to Larnaca airport.,Positive
91,Food,,
91,Price,,
91,Facility,,
91,Check-in,,
91,Check-out,,
92,Room,,
92,Staff,,
92,Location,,
92,Food,,
92,Price,,
92,Facility,,
92,Check-in,"we did late night check in, that was super easy and comfortable.",Positive
92,Check-out,,
92,Room,it was a bit badly soundproofed,Negative
92,Staff,,
92,Location,,
92,Food,,
92,Price,,
92,Facility,,
92,Check-in,,
92,Check-out,,
93,Room,"New room, very comfortable.",Positive
93,Staff,Francais parlé parfaitement.,Positive
93,Location,Bus stop for the airport walkable.,Positive
93,Food,Nice restaurant in the same building very welcoming with nice offer.,Positive
93,Price,,
93,Facility,,
93,Check-in,,
93,Check-out,,
93,Room,,
93,Staff,,
93,Location,The location of the place is more a waiting position for your next flight at the Larnaka airport than a beach stay.,Negative
93,Food,,
93,Price,,
93,Facility,,
93,Check-in,,
93,Check-out,,
94,Room,,
94,Staff,Amazing staff,Positive
94,Location,,
94,Food,very tasty food with a super service at the restaurant by the hotel,Positive
94,Price,,
94,Facility,modern facility,Positive
94,Check-in,,
94,Check-out,,
95,Room,clean and quiet,Positive
95,Location,perfect location for the airport,Positive
95,Staff,,
95,Food,,
95,Price,,
95,Facility,,
95,Check-in,,
95,Check-out,,
96,Room,the room is very comfortable.,Positive
96,Staff,the staff is very nice.,Positive
96,Location,,
96,Food,,
96,Price,,
96,Facility,,
96,Check-in,,
96,Check-out,,
